,id,inspection_day,gender,age,area,income_degree,now_leisure_spend,willingness_to_spending,workday_leisure_avg,weekend_leisure_avg,one_week_total_leisure,rest_rcrt_rate,hobby_rate,self_impt_rate,human_relationship_rate,etc_rate
221,53345404,20221102,F,50대,전라북도,400.0,비슷하다,증가할 것이다,2,4,18,30,10,10,20,30
223,53345638,20221102,F,50대,경기도,600.0,감소한 편이다,비슷할 것이다,4,10,40,80,10,0,10,0
225,53345764,20221102,M,30대,인천광역시,600.0,크게 증가했다,증가할 것이다,1,5,15,10,0,0,90,0
227,53346012,20221102,M,50대,대구광역시,200.0,비슷하다,비슷할 것이다,2,5,20,80,20,0,0,0
228,53346104,20221102,M,40대,경상남도,200.0,증가한 편이다,비슷할 것이다,1,1,7,40,0,0,20,40
229,53346156,20221102,F,30대,경기도,200.0,비슷하다,증가할 것이다,5,5,35,50,10,20,20,0
230,53346278,20221102,M,30대,부산광역시,400.0,증가한 편이다,비슷할 것이다,2,5,20,60,25,10,5,0
231,53346448,20221102,F,50대,경기도,200.0,감소한 편이다,감소할 것이다,2,4,18,20,50,10,20,0
232,53346549,20221102,F,50대,대구광역시,200.0,비슷하다,증가할 것이다,1,4,13,30,40,20,10,0
233,53346609,20221102,F,50대,경기도,400.0,크게 감소했다,감소할 것이다,3,2,19,10,30,20,40,0
234,53346710,20221102,F,60대,강원도,600.0,비슷하다,비슷할 것이다,2,8,26,60,0,0,20,20
235,53346834,20221102,F,50대,부산광역시,200.0,감소한 편이다,비슷할 것이다,4,2,24,0,30,20,0,50
237,53346936,20221102,F,60대,부산광역시,200.0,증가한 편이다,증가할 것이다,7,3,41,40,10,20,30,0
238,53346948,20221102,F,60대,인천광역시,400.0,증가한 편이다,증가할 것이다,2,12,34,80,0,0,20,0
239,53347007,20221102,F,40대,대구광역시,200.0,비슷하다,감소할 것이다,12,12,84,50,0,0,0,50
240,53347463,20221102,F,30대,부산광역시,200.0,증가한 편이다,증가할 것이다,3,10,35,30,30,0,40,0
241,53347477,20221102,F,30대,대구광역시,600.0,감소한 편이다,비슷할 것이다,2,6,22,40,30,0,30,0
242,53347688,20221102,M,30대,경기도,700.0,비슷하다,비슷할 것이다,8,10,60,100,0,0,0,0
243,53347829,20221102,F,50대,부산광역시,700.0,비슷하다,비슷할 것이다,2,5,20,50,50,0,0,0
244,53347897,20221102,F,30대,서울특별시,600.0,증가한 편이다,증가할 것이다,4,8,36,5,60,10,25,0
245,53347937,20221102,F,60대,경기도,400.0,비슷하다,비슷할 것이다,6,4,38,10,30,20,40,0
246,53348146,20221102,F,30대,울산광역시,600.0,증가한 편이다,증가할 것이다,3,2,19,20,30,30,20,0
247,53348243,20221102,F,60대,서울특별시,400.0,감소한 편이다,감소할 것이다,6,7,44,10,30,30,30,0
248,53348328,20221102,M,50대,인천광역시,700.0,비슷하다,비슷할 것이다,2,5,20,10,10,20,30,30
249,53348366,20221102,F,60대,서울특별시,200.0,증가한 편이다,증가할 것이다,5,3,31,45,10,10,35,0
250,53348514,20221102,M,30대,부산광역시,200.0,증가한 편이다,크게 증가할 것이다,1,3,11,90,0,0,10,0
251,53348536,20221102,M,50대,경상북도,200.0,증가한 편이다,증가할 것이다,2,10,30,50,0,0,50,0
252,53348582,20221102,F,50대,부산광역시,600.0,감소한 편이다,증가할 것이다,1,6,17,40,10,10,30,10
253,53348632,20221102,F,40대,서울특별시,400.0,증가한 편이다,증가할 것이다,1,2,9,0,50,0,0,50
254,53348692,20221102,F,30대,전라남도,200.0,비슷하다,비슷할 것이다,2,5,20,50,0,0,50,0
255,53348776,20221102,M,60대,경기도,400.0,증가한 편이다,증가할 것이다,12,9,78,15,25,15,45,0
256,53348783,20221102,F,60대,인천광역시,200.0,비슷하다,비슷할 것이다,6,6,42,0,0,30,70,0
