RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53341105,20221130,M,20대,경상북도,500이상700만원 미만,8,12,64,40,10,30,20,0
53341119,20221130,F,40대,서울특별시,300이상500만원 미만,5,3,31,80,0,0,20,0
53341451,20221130,F,30대,서울특별시,500이상700만원 미만,1,1,7,50,30,5,15,0
53341483,20221130,F,20대,전라남도,500이상700만원 미만,4,10,40,45,40,0,15,0
53341769,20221130,F,20대,전라남도,300만원 미만,5,5,35,21,21,21,20,17
53341804,20221130,F,50대,경기도,500이상700만원 미만,0,3,6,50,20,0,30,0
53341860,20221130,M,60대,경기도,300만원 미만,0,4,8,40,20,0,40,0
53341902,20221130,M,50대,경상북도,500이상700만원 미만,5,13,51,50,30,10,10,0
53341999,20221130,F,20대,충청남도,무응답,4,16,52,20,0,50,30,0
53342390,20221130,M,50대,인천광역시,300만원 미만,3,5,25,50,0,0,30,20
53342526,20221130,M,30대,대구광역시,700만원 이상,4,8,36,100,0,0,0,0
53342561,20221130,F,50대,경기도,500이상700만원 미만,2,6,22,20,50,10,20,0
53342594,20221130,M,30대,경기도,700만원 이상,2,12,34,40,20,10,30,0
53342686,20221130,M,20대,경기도,300이상500만원 미만,5,8,41,30,50,0,20,0
53342698,20221130,F,30대,전라남도,500이상700만원 미만,2,4,18,60,10,10,20,0
53342778,20221130,F,20대,경기도,700만원 이상,3,17,49,30,50,0,20,0
53342936,20221130,M,40대,인천광역시,300이상500만원 미만,3,3,21,30,10,10,50,0
53343015,20221130,M,30대,경기도,300이상500만원 미만,1,1,7,80,20,0,0,0
53343016,20221130,M,40대,제주특별자치도,300만원 미만,1,10,25,30,0,0,0,70
53343117,20221130,F,30대,충청남도,500이상700만원 미만,1,6,17,10,20,20,50,0
53343179,20221130,M,20대,광주광역시,무응답,5,0,25,90,10,0,0,0
53343227,20221130,F,40대,서울특별시,500이상700만원 미만,2,5,20,50,10,10,30,0
53343291,20221130,M,60대,경기도,300이상500만원 미만,2,5,20,10,40,10,40,0
53343338,20221130,M,30대,제주특별자치도,300이상500만원 미만,1,3,11,100,0,0,0,0
53343486,20221130,F,60대,세종특별자치시,300이상500만원 미만,2,8,26,20,20,40,20,0
53343549,20221130,F,60대,경상남도,300만원 미만,1,1,7,50,0,50,0,0
53343597,20221130,F,60대,부산광역시,300만원 미만,2,1,12,0,0,0,0,100
53343877,20221130,M,20대,충청북도,300만원 미만,2,10,30,80,0,0,20,0
53344014,20221130,F,60대,서울특별시,300이상500만원 미만,6,4,38,70,15,15,0,0
53344108,20221130,M,20대,경기도,300이상500만원 미만,3,10,35,50,40,0,10,0
53344145,20221130,M,30대,인천광역시,300이상500만원 미만,2,7,24,50,5,25,20,0
53344172,20221130,F,40대,부산광역시,500이상700만원 미만,1,2,9,20,50,10,20,0
53344242,20221130,M,50대,인천광역시,300이상500만원 미만,7,0,35,50,0,0,20,30
53344296,20221130,F,20대,전라북도,700만원 이상,1,1,7,100,0,0,0,0
53344297,20221130,F,60대,인천광역시,300이상500만원 미만,4,0,20,35,10,0,35,20
53344440,20221130,M,30대,인천광역시,500이상700만원 미만,2,4,18,100,0,0,0,0
53344549,20221130,F,30대,충청남도,700만원 이상,1,3,11,10,20,40,30,0
53344602,20221130,F,20대,울산광역시,무응답,5,12,49,80,0,0,20,0
53344679,20221130,F,40대,경상남도,300이상500만원 미만,1,4,13,10,20,70,0,0
53344700,20221130,M,60대,경기도,700만원 이상,5,3,31,40,20,20,20,0
53344811,20221130,F,20대,충청남도,무응답,5,12,49,80,10,10,0,0
53344932,20221130,F,50대,충청북도,300이상500만원 미만,6,5,40,50,40,0,10,0
53344959,20221130,F,20대,전라남도,500이상700만원 미만,5,10,45,67,4,23,6,0
53345046,20221130,M,40대,경기도,700만원 이상,1,3,11,30,30,0,40,0
53345156,20221130,F,40대,경상북도,500이상700만원 미만,3,8,31,20,10,70,0,0
53345395,20221130,M,20대,전라남도,무응답,3,5,25,80,20,0,0,0
53345433,20221130,M,60대,대구광역시,300만원 미만,12,0,60,90,0,0,10,0
53345543,20221130,F,50대,경기도,700만원 이상,1,3,11,100,0,0,0,0
53345844,20221130,M,60대,충청북도,300이상500만원 미만,2,4,18,30,10,20,40,0
53345893,20221130,F,40대,경기도,700만원 이상,4,5,30,50,10,20,20,0
53345987,20221130,F,60대,경기도,500이상700만원 미만,3,7,29,60,20,10,10,0
53346028,20221130,M,20대,경기도,300만원 미만,2,4,18,100,0,0,0,0
53346229,20221130,F,60대,경상남도,300이상500만원 미만,3,6,27,25,40,10,25,0
53346254,20221130,M,30대,인천광역시,300만원 미만,1,1,7,50,50,0,0,0
53346703,20221130,M,30대,경기도,700만원 이상,2,5,20,60,10,10,20,0
53346724,20221130,M,40대,서울특별시,300이상500만원 미만,2,4,18,70,0,0,30,0
53346731,20221130,M,40대,인천광역시,300이상500만원 미만,3,10,35,30,50,0,20,0
53346821,20221130,M,40대,경상남도,500이상700만원 미만,3,10,35,50,30,20,0,0
53347122,20221130,F,30대,경기도,500이상700만원 미만,4,12,44,60,10,0,30,0
53347141,20221130,M,40대,세종특별자치시,500이상700만원 미만,4,10,40,90,10,0,0,0
53347156,20221130,F,30대,경상북도,300이상500만원 미만,2,5,20,20,60,10,10,0
53347234,20221130,M,20대,충청남도,700만원 이상,2,6,22,25,0,5,70,0
53347256,20221130,F,30대,인천광역시,500이상700만원 미만,4,8,36,60,0,40,0,0
53347411,20221130,M,40대,경기도,300이상500만원 미만,10,7,64,90,10,0,0,0
53347566,20221130,M,40대,전라남도,300이상500만원 미만,0,2,4,70,0,25,5,0
